,Medicine Name,Uses,Side_effects
9357,Symbal 40 Tablet,Stress urinary incontinence,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9358,Seriva Cream,Fungal skin infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9358,Seriva Cream,Fungal infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9359,Sibofix 200 Tablet,Infectious diarrhea,"Headache, Nausea, Fever, Abdominal pain, Vomiting, Flatulence, Constipation, Tenesmus increased urge to pass stools"
9360,Sotret 30mg Capsule,Acne,"Dry skin, Increased liver enzymes, Rash"
9361,Syncapone 150 Tablet,Parkinson's disease,"Urine discoloration, Headache, Dryness in mouth, Insomnia difficulty in sleeping, Anxiety, Dizziness, Abnormal dreams, Involuntary muscle movement, Gastrointestinal disturbance"
9362,Seacure SR 300 Tablet,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9362,Seacure SR 300 Tablet,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9363,Sertima 100 Tablet,Depression,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Post traumatic stress disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Obsessive-compulsive disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Panic disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Premenstrual dysphoric disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Anxiety,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9363,Sertima 100 Tablet,Premenstrual syndrome ,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9364,Starpress-AM XL 25 Tablet,Hypertension ,"Nausea, Slow heart rate, Abdominal pain, Dizziness, Fatigue, Sleepiness, Ankle swelling, Constipation, Edema swelling, Flushing sense of warmth in the face ears neck and trunk, Palpitations, Headache, Vomiting, Visual disturbance, Orthostatic hypotension sudden lowering of blood pressure on standing, Breathlessness, Muscle cramp"
9365,Sclerifuma 120 Capsule DR,Multiple sclerosis ,"Flushing sense of warmth in the face ears neck and trunk, Abdominal pain, Diarrhea, Nausea, Vomiting, Indigestion, Stomach inflammation, Increased liver enzymes, Rash"
9366,Sentidor Gel,Neuropathic pain,Application site reactions burning irritation itching and redness
9367,Serutan 212.5mg Tablet,Pancreatic enzyme deficiency,"Stomach pain, Bloating, Diarrhea"
9368,Simvotin 10 Tablet,High cholesterol,"Constipation, Headache, Upper respiratory tract infection, Abdominal pain, Nausea"
9368,Simvotin 10 Tablet,heart attack and stroke,"Constipation, Headache, Upper respiratory tract infection, Abdominal pain, Nausea"
9369,Sorifix Solo Ointment,Psoriasis,"Dry skin, Skin irritation, Itching, Burning sensation, Stinging sensation, Rash"
9370,Sporidex Redimix Drop Orange,Bacterial infections,"Abdominal pain, Rash, Stomach pain, Nausea, Indigestion, Diarrhea, Vomiting"
9371,Solikem 5 Tablet,Overactive bladder  symptoms,"Dryness in mouth, Constipation, Blurred vision, Nausea, Upset stomach, Urinary tract infection"
9372,Spiroflut Nasal Spray,Sneezing and runny nose due to allergies,"Nasal inflammation, Headache, Nosebleeds, Nasal ulceration, Breathlessness"
9373,Sizodon MD 1 Tablet,Schizophrenia,"Headache, Insomnia difficulty in sleeping, Parkinsonism, Drowsiness, Sedation"
9373,Sizodon MD 1 Tablet,Mania,"Headache, Insomnia difficulty in sleeping, Parkinsonism, Drowsiness, Sedation"
9374,Sterio 4mg Tablet,Rheumatic disorder,"Thinning of skin, Increased risk of infection, Reduction in bone density, Weight gain, Mood changes, Upset stomach, Behavioral changes"
9374,Sterio 4mg Tablet,Systemic lupus erythematosus ,"Thinning of skin, Increased risk of infection, Reduction in bone density, Weight gain, Mood changes, Upset stomach, Behavioral changes"
9374,Sterio 4mg Tablet,Allergic conditions,"Thinning of skin, Increased risk of infection, Reduction in bone density, Weight gain, Mood changes, Upset stomach, Behavioral changes"
9374,Sterio 4mg Tablet,Eye disorders,"Thinning of skin, Increased risk of infection, Reduction in bone density, Weight gain, Mood changes, Upset stomach, Behavioral changes"
9374,Sterio 4mg Tablet,Skin disorders,"Thinning of skin, Increased risk of infection, Reduction in bone density, Weight gain, Mood changes, Upset stomach, Behavioral changes"
9375,Strocit Injection,Stroke,"Injection site reactions pain swelling redness, Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9375,Strocit Injection,Head injury,"Injection site reactions pain swelling redness, Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9375,Strocit Injection,Alzheimer's disease,"Injection site reactions pain swelling redness, Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9375,Strocit Injection,"Dementia in, Parkinson's disease","Injection site reactions pain swelling redness, Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9376,Salbair 100mcg Transcaps,Chronic obstructive pulmonary disease ,"Accidental injury, Bronchitis inflammation of the airways, Dizziness, Pain, Pharyngitis, Nasal congestion stuffy nose, Vomiting, Chest pain, Palpitations, Sore throat, Tremors"
9376,Salbair 100mcg Transcaps,Asthma,"Accidental injury, Bronchitis inflammation of the airways, Dizziness, Pain, Pharyngitis, Nasal congestion stuffy nose, Vomiting, Chest pain, Palpitations, Sore throat, Tremors"
9377,Soha Liquigel,Dry eyes,Limited data available
9378,Sepgard Solution,Bleeding,Application site irritation
9379,Somazina 500mg Tablet,Stroke,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9379,Somazina 500mg Tablet,Head injury,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9379,Somazina 500mg Tablet,Alzheimer's disease,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9379,Somazina 500mg Tablet,"Dementia in, Parkinson's disease","Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9380,Sertagress 50mg Tablet,Depression,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Post traumatic stress disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Obsessive-compulsive disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Panic disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Premenstrual dysphoric disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Anxiety,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9380,Sertagress 50mg Tablet,Premenstrual syndrome ,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9381,Sandimmun Neoral 50mg Soft Gelatin Capsule,,"Headache, Nausea, Vomiting, Increased hair growth, High blood pressure, Renal dysfunction, Loss of appetite, Diarrhea, Tremors, Gingival hypertrophy gum enlargement"
9381,Sandimmun Neoral 50mg Soft Gelatin Capsule,"organ rejection in transplant patients, Rheumatoid arthritis, Psoriasis","Headache, Nausea, Vomiting, Increased hair growth, High blood pressure, Renal dysfunction, Loss of appetite, Diarrhea, Tremors, Gingival hypertrophy gum enlargement"
9381,Sandimmun Neoral 50mg Soft Gelatin Capsule,"graft rejection following, Bone marrow transplantation","Headache, Nausea, Vomiting, Increased hair growth, High blood pressure, Renal dysfunction, Loss of appetite, Diarrhea, Tremors, Gingival hypertrophy gum enlargement"
9381,Sandimmun Neoral 50mg Soft Gelatin Capsule,Nephrotic syndrome,"Headache, Nausea, Vomiting, Increased hair growth, High blood pressure, Renal dysfunction, Loss of appetite, Diarrhea, Tremors, Gingival hypertrophy gum enlargement"
9382,Sizon 5 Tablet,Allergic conditions,"Nausea, Muscle pain, Edema swelling, Sleepiness, Fatigue, Vomiting, Dryness in mouth, Headache, Constipation"
9383,Sodicarb Tablet,Indigestion,"Increased sodium level in blood, Brain swelling, Alkalosis, Decreased potassium level in blood"
9383,Sodicarb Tablet,Alkalinizing agent,"Increased sodium level in blood, Brain swelling, Alkalosis, Decreased potassium level in blood"
9383,Sodicarb Tablet,Metabolic acidosis,"Increased sodium level in blood, Brain swelling, Alkalosis, Decreased potassium level in blood"
9384,Supermet-AM Tablet PR,Hypertension ,"Nausea, Slow heart rate, Abdominal pain, Dizziness, Fatigue, Sleepiness, Ankle swelling, Constipation, Edema swelling, Flushing sense of warmth in the face ears neck and trunk, Palpitations, Headache, Vomiting, Visual disturbance, Orthostatic hypotension sudden lowering of blood pressure on standing, Breathlessness, Muscle cramp"
9385,Solian 100mg Tablet,Schizophrenia,"Nausea, Vomiting, Dryness in mouth, Constipation, Weight gain, Decreased blood pressure, Dystonia involuntary muscle contractions, Akathisia inability to stay still, Parkinsonism, Increased prolactin level in blood"
9386,Spiroflut A Nasal Spray,Sneezing and runny nose due to allergies,"Taste change, Nosebleeds, Headache"
9387,Step-UP Oral Drops,"Allergic conditions, Appetite stimulant","Dizziness, Headache"
9388,Seroflo 50 Inhaler,Chronic obstructive pulmonary disease ,"Headache, Cough, Upper respiratory tract infection, Nasopharyngitis inflammation of the throat and nasal passages, Sinus inflammation, Stomach discomfort, Fungal infection of oropharynx, Tremors, Palpitations, Voice change"
9389,Setrabet 2% Cream,Fungal skin infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9389,Setrabet 2% Cream,Fungal infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9390,S-Methiwave 200 Tablet,Liver  disease,"Nausea, Diarrhea, Upset stomach, Constipation, Dizziness"
9391,Skizoril 100mg Tablet,Schizophrenia,"Dizziness, Fainting, Constipation, Fever, Weight gain, Decreased white blood cell count, Extrapyramidal symptoms, Increased liver enzymes, Drowsiness, Seizure, Increased white blood cell count eosinophils, Anticholinergic effects, Tachycardia, Excessive salivation"
9392,Scaboma Lotion,Scabies,"Hair loss, Rash, Erythematous rash, Drowsiness, Headache, Dizziness, Convulsion, Itching, Dry skin, Paresthesia tingling or pricking sensation, Numbness, Tremors"
9393,S-Celepra 5 Tablet,Depression,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
9393,S-Celepra 5 Tablet,Anxiety disorder,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
9393,S-Celepra 5 Tablet,Panic disorder,"Anorgasmia decreased orgasm in women, Decreased libido, Delayed ejaculation, Fatigue, Increased sweating, Insomnia difficulty in sleeping, Nausea, Sleepiness"
9394,Sudin D Syrup,Dry cough,"Upset stomach, Stomach pain epigastric pain, Sleepiness, Dizziness, Impaired coordination, Thickened respiratory tract secretions"
9395,Subsyde-CR Capsule,Pain relief,"Edema swelling, Nausea, Headache, Dizziness, Vomiting, Itching, Flatulence, Indigestion, Pain in extremities"
9396,Solvin Decongestant Syrup Sugar Free,Common cold,"Nausea, Vomiting, Diarrhea, Dizziness, Headache, Sweating, Itching, Upper abdominal pain, Rash, Urticaria, Changes in serum aminotransferase levels"
9397,Seloken XL 100mg Tablet,Hypertension ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
9397,Seloken XL 100mg Tablet,Angina ,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
9397,Seloken XL 100mg Tablet,Arrhythmia,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
9397,Seloken XL 100mg Tablet,Heart attack,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
9397,Seloken XL 100mg Tablet,Migraine,"Fatigue, Headache, Slow heart rate, Dizziness, Nausea, Breathlessness, Rash, Diarrhea, Depression"
9398,Spiromont-F 180 Tablet,Sneezing and runny nose due to allergies,"Nausea, Diarrhea, Vomiting, Skin rash, Flu like symptoms, Headache, Drowsiness, Dizziness"
9399,Sizodon 4 Tablet,Schizophrenia,"Headache, Insomnia difficulty in sleeping, Parkinsonism, Drowsiness, Sedation"
9399,Sizodon 4 Tablet,Mania,"Headache, Insomnia difficulty in sleeping, Parkinsonism, Drowsiness, Sedation"
9400,Salobet Ointment,Eczema,"Skin peeling, Thinning of skin, Application site reactions burning irritation itching and redness"
9400,Salobet Ointment,Psoriasis,"Skin peeling, Thinning of skin, Application site reactions burning irritation itching and redness"
9401,Synoflex Tablet,Osteoarthritis,"Nausea, Diarrhea, Constipation, Indigestion, Heartburn, Urine discoloration"
9402,Suminat 100 Tablet,Acute migraine headache,"Dizziness, Weakness, Flushing sense of warmth in the face ears neck and trunk, Drowsiness, Peripheral neuropathy tingling and numbness of feet and hand"
9403,Sertagress 25mg Tablet,Depression,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Post traumatic stress disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Obsessive-compulsive disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Panic disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Premenstrual dysphoric disorder,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Anxiety,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9403,Sertagress 25mg Tablet,Premenstrual syndrome ,"Delayed ejaculation, Erectile dysfunction, Indigestion, Insomnia difficulty in sleeping, Low sexual desire, Nausea, Tremors, Diarrhea, Increased sweating, Loss of appetite, Sleepiness, Taste change"
9404,Surfaz-O Tablet,Fungal infections,"Headache, Nausea, Stomach pain"
9405,Sentim-SF Toothpaste,Hypersensitivity,"Taste change, Gum, Irritation"
9405,Sentim-SF Toothpaste,Inflammation of gums,"Taste change, Gum, Irritation"
9405,Sentim-SF Toothpaste,Dental cavities,"Taste change, Gum, Irritation"
9406,Saferet 20 Tablet,Acne,"Dry skin, Increased liver enzymes, Rash"
9407,Starcad-Beta 50 Tablet ER,Hypertension ,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9407,Starcad-Beta 50 Tablet ER,Angina ,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9407,Starcad-Beta 50 Tablet ER,Arrhythmia,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9407,Starcad-Beta 50 Tablet ER,Heart attack,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9407,Starcad-Beta 50 Tablet ER,Stroke,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9407,Starcad-Beta 50 Tablet ER,Migraine,"Fatigue, Slow heart rate, Constipation, Diarrhea, Dizziness, Cold extremities"
9408,Strone AQ Injection,"Hormone replacement therapy, Female infertility","Headache, Fatigue, Joint pain, Cough, Abnormal menstrual bleeding, Musculoskeletal bone muscle or joint pain, Slurred speech, Pain behind eyes, Vertigo"
9409,Sifasi 10000IU Injection,Female infertility,"Injection site pain, Headache, Fatigue, Depression, Irritation, Restlessness"
9409,Sifasi 10000IU Injection,Male hypogonadism,"Injection site pain, Headache, Fatigue, Depression, Irritation, Restlessness"
9410,Scalnex CT Lotion,Fungal skin infections,Application site reactions burning irritation itching and redness
9411,Strocit Oral Drops,Stroke,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9411,Strocit Oral Drops,Head injury,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9411,Strocit Oral Drops,Alzheimer's disease,"Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9411,Strocit Oral Drops,"Dementia in, Parkinson's disease","Decreased blood pressure, Arrhythmia irregular heartbeats, Stomach pain, Diarrhea, Insomnia difficulty in sleeping, Rash, Peripheral neuropathy tingling and numbness of feet and hand"
9412,S-Amlosafe 2.5 Tablet,Hypertension ,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9412,S-Amlosafe 2.5 Tablet,Angina ,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9412,S-Amlosafe 2.5 Tablet,Heart attack,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9412,S-Amlosafe 2.5 Tablet,Stroke,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9413,Salbair-B Transhaler,Asthma,"Hoarseness of voice, Headache, Dizziness, Pharyngitis, Vomiting, Bronchitis inflammation of the airways, Dryness in mouth, Cough, Application site irritation, Nausea, Gastrointestinal motility disorder, Thrush, Throat irritation"
9414,Salobet Ointment,Eczema,"Skin peeling, Thinning of skin, Application site reactions burning irritation itching and redness"
9414,Salobet Ointment,Psoriasis,"Skin peeling, Thinning of skin, Application site reactions burning irritation itching and redness"
9415,Sartel AM 80 Tablet,Hypertension ,"Sleepiness, Ankle swelling, Headache, Flushing sense of warmth in the face ears neck and trunk, Dizziness, Tiredness, Palpitations, Upset stomach, Increased potassium level in blood"
9416,Skizoril 50mg Tablet,Schizophrenia,"Dizziness, Fainting, Constipation, Fever, Weight gain, Decreased white blood cell count, Extrapyramidal symptoms, Increased liver enzymes, Drowsiness, Seizure, Increased white blood cell count eosinophils, Anticholinergic effects, Tachycardia, Excessive salivation"
9417,Sartel 80 Tablet,Hypertension ,"Upper respiratory tract infection, Sinus infection, Back pain, Diarrhea"
9417,Sartel 80 Tablet,heart attack and stroke,"Upper respiratory tract infection, Sinus infection, Back pain, Diarrhea"
9417,Sartel 80 Tablet,Heart failure,"Upper respiratory tract infection, Sinus infection, Back pain, Diarrhea"
9418,Skizoril 25mg Tablet,Schizophrenia,"Dizziness, Fainting, Constipation, Fever, Weight gain, Decreased white blood cell count, Extrapyramidal symptoms, Increased liver enzymes, Drowsiness, Seizure, Increased white blood cell count eosinophils, Anticholinergic effects, Tachycardia, Excessive salivation"
9419,Suprox Tablet,"Premature, Labor","Dizziness, Palpitations"
9419,Suprox Tablet,Peripheral vascular disease,"Dizziness, Palpitations"
9420,Soltus 200 Tablet,Schizophrenia,"Nausea, Vomiting, Dryness in mouth, Constipation, Weight gain, Decreased blood pressure, Dystonia involuntary muscle contractions, Akathisia inability to stay still, Parkinsonism, Increased prolactin level in blood"
9421,Symbal 60 Tablet,Depression,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9421,Symbal 60 Tablet,Anxiety disorder,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9421,Symbal 60 Tablet,Diabetic nerve pain,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9421,Symbal 60 Tablet,Fibromyalgia,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9421,Symbal 60 Tablet,Neuropathic pain,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9421,Symbal 60 Tablet,Stress urinary incontinence,"Nausea, Headache, Dryness in mouth, Sleepiness, Dizziness"
9422,Sulpitac 300 Tablet,Schizophrenia,"Nausea, Vomiting, Dryness in mouth, Constipation, Weight gain, Decreased blood pressure, Dystonia involuntary muscle contractions, Akathisia inability to stay still, Parkinsonism, Increased prolactin level in blood"
9423,Sizon Forte Tablet,Allergic conditions,"Sleepiness, Fatigue, Vomiting, Dryness in mouth, Headache, Constipation"
9424,Sertaspor Cream,Fungal skin infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9424,Sertaspor Cream,Fungal infections,"Application site reactions burning irritation itching and redness, Skin irritation"
9425,Surfaz Topical Solution,Fungal skin infections,"Blisters, Skin peeling, Swelling, Application site irritation"
9426,Silotrif-D 8 Capsule Combipack,Benign prostatic hyperplasia,"Ejaculation disorder, Impotence, Headache, Dizziness, Decreased libido, Orthostatic hypotension sudden lowering of blood pressure on standing, Nausea, Abdominal pain, Breast enlargement in male, Breast tenderness in male"
9427,S-Amlosafe 5 Tablet,Hypertension ,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9427,S-Amlosafe 5 Tablet,Angina ,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9427,S-Amlosafe 5 Tablet,Heart attack,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9427,S-Amlosafe 5 Tablet,Stroke,"Ankle swelling, Dizziness, Fatigue, Flushing sense of warmth in the face ears neck and trunk, Headache, Palpitations, Abdominal pain, Muscle cramp, Nausea, Sleepiness, Visual disturbance, Dyspepsia, Breathlessness, Change in bowel habits"
9428,Silverstream Liquid,Infections,No common side effects seen
9429,Strone SR 300 Tablet,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9429,Strone SR 300 Tablet,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9430,SLC Face Wash,Acne,"Itching, Stinging sensation, Skin peeling, Erythema skin redness"
9431,Strone 100 Capsule,Hormone replacement therapy,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9431,Strone 100 Capsule,Female infertility,"Abdominal pain, Nausea, Abnormal vaginal bleeding, Edema swelling, Hair loss, Abdominal bloating, Headache, Breast pain, Vomiting, Vaginal yeast infection"
9432,Silotime 4 Capsule,Benign prostatic hyperplasia,"Retrograde ejaculation, Dizziness, Diarrhea, Orthostatic hypotension sudden lowering of blood pressure on standing, Headache, Blurred vision, Nasopharyngitis inflammation of the throat and nasal passages, Nasal congestion stuffy nose"
9433,Solet Tablet,Arrhythmia,"Fatigue, Slow heart rate, Breathlessness, Arrhythmia irregular heartbeats, Weakness, Dizziness"
9434,Suppol Baby 80mg Suppository,Pain relief,"Anal irritation, Constipation, Stomach pain, Nausea, Vomiting"
9434,Suppol Baby 80mg Suppository,Fever,"Anal irritation, Constipation, Stomach pain, Nausea, Vomiting"
9435,Sucrapen-O Suspension,Acidity,"Constipation, Nausea, Vomiting, Dizziness, Insomnia difficulty in sleeping, Allergic reaction"
9435,Sucrapen-O Suspension,Heartburn,"Constipation, Nausea, Vomiting, Dizziness, Insomnia difficulty in sleeping, Allergic reaction"
9435,Sucrapen-O Suspension,Stomach ulcers,"Constipation, Nausea, Vomiting, Dizziness, Insomnia difficulty in sleeping, Allergic reaction"
9436,Salbair I Neb 1.25 Transpules 2.5ml,Chronic obstructive pulmonary disease ,"Dryness in mouth, Breathlessness, Cough, Tremors, Headache, Palpitations, Muscle cramp"
